roll_no,county,lat2,long2
00651R,Carlow,52.5993,-6.91956
00977B,Carlow,52.8124,-6.62828
01116A,Carlow,52.6485,-6.92923
01215C,Carlow,52.7225,-6.87567
01415K,Carlow,52.7872,-6.79887
02124E,Carlow,52.7394,-7.03297
04077I,Carlow,52.8373,-6.78127
09320Q,Carlow,52.6581,-6.83898
11135K,Carlow,52.7001,-6.95892
13105L,Carlow,52.7,-6.95411
13507I,Carlow,52.8003,-6.73301
13607M,Carlow,52.8037,-6.73187
14837L,Carlow,52.7381,-6.76798
16080N,Carlow,52.803,-6.7318
16938E,Carlow,52.795,-6.89544
17053P,Carlow,52.8409,-6.92377
17096K,Carlow,52.6771,-6.85184
17127S,Carlow,52.863,-6.55546
17330P,Carlow,52.5017,-6.9072
17462J,Carlow,52.5463,-6.9029
17481N,Carlow,52.4724,-6.90043
17501Q,Carlow,52.8307,-6.86912
17514C,Carlow,52.696,-6.64791
17663T,Carlow,52.8799,-6.68951
17669I,Carlow,52.8915,-6.61781
17756D,Carlow,52.7854,-6.98213
17796P,Carlow,52.7485,-6.91115
17994T,Carlow,52.6862,-6.77921
18024N,Carlow,52.7559,-6.70491
18090D,Carlow,52.6844,-6.68477
18183K,Carlow,52.7012,-6.96247
18363M,Carlow,52.8378,-6.92205
18424G,Carlow,52.8386,-6.92255
18510W,Carlow,52.571,-6.85962
18609S,Carlow,52.8581,-6.73378
18615N,Carlow,52.8265,-6.93185
19477J,Carlow,52.836,-6.91224
19478L,Carlow,52.8353,-6.91185
19784S,Carlow,52.735,-6.971
19811S,Carlow,52.8294,-6.91096
19958C,Carlow,52.8373,-6.94473
20295K,Carlow,52.8405,-6.95219
01356U,Cavan,53.8595,-7.32065
05627W,Cavan,53.9169,-6.97357
06998Q,Cavan,54.1183,-7.79134
08143P,Cavan,54.1908,-7.70495
08453H,Cavan,53.9652,-7.32081
08490N,Cavan,53.9916,-7.35615
08948L,Cavan,54.0642,-7.47443
10146K,Cavan,53.9747,-7.49642
11205F,Cavan,54.0127,-7.52741
11409V,Cavan,54.1172,-7.58697
11517B,Cavan,53.99,-7.36202
11541V,Cavan,54.0028,-7.38316
12099O,Cavan,53.8867,-7.14452
12312L,Cavan,54.076,-7.08566
12713G,Cavan,53.9011,-7.55461
13203L,Cavan,53.8738,-7.53374
13271F,Cavan,54.0987,-7.44285
14073G,Cavan,54.0304,-7.29024
14211P,Cavan,53.9027,-6.86086
14320U,Cavan,53.9442,-6.87231
14336M,Cavan,53.9922,-6.892
14399N,Cavan,53.9862,-7.30479
14732U,Cavan,53.8149,-7.25248
15120R,Cavan,53.9629,-7.257
15452T,Cavan,54.0655,-7.54981
15502I,Cavan,53.886,-7.06796
16057S,Cavan,54.1004,-7.44563
16083T,Cavan,53.8352,-7.07477
16093W,Cavan,54.1135,-7.5809
16316Q,Cavan,53.9214,-7.58012
16390F,Cavan,54.0066,-7.52534
16520P,Cavan,54.0419,-7.22226
16767D,Cavan,53.938,-7.52274
16921K,Cavan,53.9316,-7.41259
16959M,Cavan,54.1952,-7.92391
17230L,Cavan,54.0855,-7.3136
17240O,Cavan,53.9593,-7.05827
17326B,Cavan,53.9908,-7.36278
17440W,Cavan,54.0907,-7.63477
17479D,Cavan,53.9166,-7.43782
17531C,Cavan,53.8968,-6.95232
17601U,Cavan,54.03,-7.0403
17625L,Cavan,53.8035,-7.08748
17630E,Cavan,53.9876,-6.99375
17780A,Cavan,54.0448,-7.31872
17990L,Cavan,53.9968,-7.32264
18059J,Cavan,53.9158,-6.974
18127A,Cavan,54.098,-7.44256
18340A,Cavan,54.0724,-7.2249
18346M,Cavan,54.0979,-7.53283
18355N,Cavan,53.9346,-7.21904
18393V,Cavan,53.854,-7.01142
18518P,Cavan,53.9603,-7.35776
18564W,Cavan,53.9274,-7.0106
18833A,Cavan,53.9931,-7.215
18857O,Cavan,53.8017,-7.03157
19202Q,Cavan,53.8903,-7.34232
19285A,Cavan,54.0359,-7.11729
19322D,Cavan,53.9719,-7.41987
19326L,Cavan,54.0458,-7.37524
19363R,Cavan,53.8391,-7.43339
19378H,Cavan,53.8374,-7.34731
19418Q,Cavan,53.8208,-7.17897
19432K,Cavan,53.9195,-7.26354
19527V,Cavan,53.9204,-6.81073
19568M,Cavan,53.8856,-7.40689
19596R,Cavan,53.8759,-7.28708
19608V,Cavan,53.8127,-6.95412
19679V,Cavan,54.1184,-7.67764
19871N,Cavan,54.2849,-7.91499
19921C,Cavan,54.0431,-7.23203
19983B,Cavan,53.8657,-7.19846
20026G,Cavan,53.9915,-7.36483
20134J,Cavan,53.9595,-7.1751
20172R,Cavan,53.9012,-6.80412
20277I,Cavan,54.074,-7.07372
02439G,Clare,52.9239,-8.64861
03898U,Clare,52.8899,-9.03379
03928D,Clare,52.7994,-9.41874
04548V,Clare,52.7236,-8.5536
04919H,Clare,52.699,-8.75482
05253H,Clare,52.8402,-8.67154
07315N,Clare,52.8416,-8.9807
09390O,Clare,52.8684,-9.34671
09425H,Clare,52.8905,-9.38842
10568N,Clare,52.6351,-9.59582
10763L,Clare,53.0312,-8.93212
10886E,Clare,52.9899,-8.89348
11234M,Clare,52.7615,-9.38973
11714D,Clare,52.6973,-9.58939
11765U,Clare,52.7311,-9.52827
11990E,Clare,52.8825,-8.59622
12633I,Clare,52.6596,-9.21226
12848G,Clare,52.6228,-9.64732
13379C,Clare,53.1167,-9.28343
13418J,Clare,52.7834,-9.02899
13478E,Clare,52.6631,-9.31091
13625O,Clare,52.8676,-9.07796
13730L,Clare,52.7678,-9.47546
13738E,Clare,52.6254,-9.35792
13804O,Clare,52.6929,-9.22375
13826B,Clare,52.7224,-9.31855
13870E,Clare,52.8046,-8.74201
13876Q,Clare,52.6431,-9.68369
13942D,Clare,52.7781,-8.78226
14111L,Clare,52.5986,-9.77484
14468G,Clare,52.82,-9.10939
14571W,Clare,52.8976,-8.54055
14622N,Clare,52.8771,-9.17849
14757N,Clare,52.817,-8.86001
14830U,Clare,52.8903,-8.94327
15042A,Clare,52.841,-8.9867
15221A,Clare,52.8218,-9.4139
15279I,Clare,52.8709,-8.86088
15301V,Clare,52.6776,-9.1024
15350L,Clare,52.7249,-8.90947
15370R,Clare,52.804,-8.44405
15408Q,Clare,52.8302,-9.18025
15981A,Clare,52.9529,-8.36144
16186G,Clare,52.8224,-9.05792
16677C,Clare,52.8481,-8.9769
16908S,Clare,52.7432,-8.77787
16930L,Clare,52.7035,-9.49337
16946D,Clare,52.6948,-8.61432
17020A,Clare,52.8103,-9.45414
17026M,Clare,52.8167,-8.96983
17246D,Clare,52.8674,-9.27287
17270A,Clare,52.9319,-9.22872
17517I,Clare,53.0129,-9.37128
17563P,Clare,52.8719,-8.45774
17583V,Clare,52.8543,-8.9281
17633K,Clare,53.1139,-9.15364
17687K,Clare,52.6906,-9.35069
17801F,Clare,52.8035,-8.63217
17816S,Clare,52.7051,-9.42087
17832Q,Clare,52.9719,-9.07881
17847G,Clare,52.9832,-9.30054
17898A,Clare,52.8044,-8.5653
17957N,Clare,52.8422,-8.98052
18032M,Clare,52.7162,-8.83571
18109V,Clare,52.9325,-8.44092
18168O,Clare,52.7467,-9.43036
18190H,Clare,53.0375,-9.07457
18225A,Clare,52.6966,-8.67333
18227E,Clare,52.9449,-9.0581
18327I,Clare,52.6548,-9.39571
18339P,Clare,52.9012,-9.33139
18359V,Clare,52.5759,-9.86532
18410S,Clare,52.9354,-9.39458
18467B,Clare,52.7612,-8.52397
18526O,Clare,52.768,-8.85255
18540I,Clare,52.7328,-9.11831
18541K,Clare,52.7664,-9.10039
18555V,Clare,52.738,-9.17643
18565B,Clare,52.6701,-9.53899
18624O,Clare,52.8058,-8.44046
18630J,Clare,52.6024,-9.70825
18639E,Clare,52.7186,-9.06469
18696Q,Clare,52.8195,-8.91256
18720K,Clare,52.8528,-9.4021
18739I,Clare,52.699,-8.8897
18740Q,Clare,52.6998,-8.89435
18753C,Clare,52.9289,-9.34427
18768P,Clare,52.9078,-9.274
18846J,Clare,52.8272,-8.79875
18950E,Clare,52.9972,-8.72064
19043W,Clare,53.1455,-9.07827
19274S,Clare,52.7059,-8.86994
19338S,Clare,52.986,-8.64494
19366A,Clare,52.9157,-8.53106
19386G,Clare,52.6216,-9.25228
19442N,Clare,52.9334,-8.98807
19551S,Clare,52.9358,-8.89331
19552U,Clare,52.7035,-8.88544
19559L,Clare,52.8475,-8.99222
19698C,Clare,52.7108,-8.86351
19700J,Clare,53.0308,-9.28817
19838P,Clare,52.8556,-8.98023
19849U,Clare,52.7053,-8.87577
19999Q,Clare,52.6398,-9.48565
20041C,Clare,52.6397,-9.48661
20075T,Clare,52.8674,-8.76128
20078C,Clare,52.6783,-9.6462
20086B,Clare,52.8589,-8.98249
20127M,Clare,52.7631,-8.89675
20149W,Clare,52.9894,-9.22064
20245S,Clare,52.9382,-9.29784
20312H,Clare,52.8924,-8.52035
20313J,Clare,52.9351,-9.29807
20404M,Clare,52.7051,-9.42087
20434V,Clare,52.7514,-9.33887
01197D,Cork,51.9005,-8.49974
02707F,Cork,51.9004,-8.50024
05940D,Cork,51.8955,-8.41343
12203G,Cork,51.8878,-8.44724
12473M,Cork,51.8908,-8.47965
13648D,Cork,51.9036,-8.45589
13696O,Cork,51.9055,-8.47931
13980L,Cork,51.8738,-8.49577
14000C,Cork,51.8946,-8.48011
14198D,Cork,51.9142,-8.43108
15781P,Cork,51.8927,-8.43899
16339F,Cork,51.8965,-8.48665
16680O,Cork,51.901,-8.48247
17024I,Cork,51.8939,-8.40132
17045Q,Cork,51.9072,-8.45401
17105I,Cork,51.8865,-8.49806
17313P,Cork,51.8895,-8.45412
17993R,Cork,51.8865,-8.49806
18153B,Cork,51.9079,-8.45386
18154D,Cork,51.907,-8.4542
18217B,Cork,51.9067,-8.4915
18253F,Cork,51.8863,-8.51546
18292P,Cork,51.883,-8.47474
18356P,Cork,51.8941,-8.48379
18388F,Cork,51.8953,-8.4194
18563U,Cork,51.8828,-8.44523
18566D,Cork,51.8738,-8.49611
18587L,Cork,51.9125,-8.42356
18734V,Cork,51.8786,-8.47859
18786R,Cork,51.9103,-8.48436
19000E,Cork,51.8783,-8.52744
19231A,Cork,51.8886,-8.42775
19232C,Cork,51.889,-8.42813
19426P,Cork,51.9108,-8.45704
19427R,Cork,51.9099,-8.46401
19714U,Cork,51.9048,-8.50605
19730S,Cork,51.9212,-8.45902
19852J,Cork,51.8792,-8.51194
19882S,Cork,51.8769,-8.44287
19906G,Cork,51.8987,-8.47815
19908K,Cork,51.8919,-8.40261
19909M,Cork,51.922,-8.48507
19993E,Cork,51.9082,-8.44115
20036J,Cork,51.9051,-8.47546
20038N,Cork,51.9115,-8.48347
20077A,Cork,51.8782,-8.52822
20106E,Cork,51.8647,-8.45643
20140E,Cork,51.9073,-8.48056
20388R,Cork,51.8883,-8.46688
20389T,Cork,51.883,-8.47965
00467B,Cork,51.6637,-8.59545
00512D,Cork,51.9081,-8.16283
01272O,Cork,51.5676,-9.09453
01687U,Cork,51.8341,-9.03803
01692N,Cork,51.9874,-8.69727
01867W,Cork,52.0822,-8.2284
02114B,Cork,52.2726,-8.19883
02278I,Cork,52.0584,-9.06551
02452V,Cork,51.8614,-8.12639
02803B,Cork,52.131,-8.89067
03704E,Cork,52.218,-8.47586
04054T,Cork,52.2359,-8.33581
04118T,Cork,51.9695,-8.26299
04152T,Cork,51.8,-8.68481
04186N,Cork,51.9379,-8.6978
04230N,Cork,51.9888,-8.22732
04268P,Cork,52.2182,-8.59037
04442F,Cork,51.953,-7.9428
04578H,Cork,51.9316,-8.85853
04953H,Cork,52.1738,-8.8041
05257P,Cork,51.7484,-8.74329
05477G,Cork,51.7575,-8.78935
05508O,Cork,51.8732,-8.4431
05565D,Cork,51.6868,-9.66435
05636A,Cork,51.7164,-9.11533
05656G,Cork,51.4921,-9.71289
06295F,Cork,52.2777,-8.88399
06342L,Cork,51.9543,-8.65584
07006A,Cork,52.1665,-8.7353
07242M,Cork,51.9178,-8.61535
07651G,Cork,51.6259,-8.87977
08393P,Cork,52.0134,-8.59386
08430S,Cork,51.5522,-9.25984
08828B,Cork,52.0616,-8.96175
08972I,Cork,51.7799,-8.73881
09161W,Cork,51.6786,-9.44315
09537S,Cork,51.7133,-8.6261
09815U,Cork,52.3153,-8.9416
09872J,Cork,52.0252,-9.06678
10047I,Cork,51.9027,-8.95697
10243I,Cork,51.7055,-8.88363
10499U,Cork,51.6253,-8.8737
10523O,Cork,52.1423,-8.27375
10548H,Cork,51.681,-9.45424
10724B,Cork,51.9488,-7.84257
10739O,Cork,51.7042,-9.03606
10771K,Cork,51.8516,-8.28654
11236Q,Cork,52.2141,-9.00409
11245R,Cork,51.5817,-9.13754
11249C,Cork,52.0668,-8.59736
11262R,Cork,52.3143,-8.79915
11337W,Cork,52.1242,-8.16981
11496T,Cork,52.3452,-8.76707
11931L,Cork,51.633,-9.20476
11992I,Cork,51.823,-8.23485
12004A,Cork,52.1378,-8.64711
12012W,Cork,51.8734,-8.43571
12015F,Cork,52.2586,-8.80568
12041G,Cork,51.9157,-8.16812
12147W,Cork,51.5707,-8.90988
12169J,Cork,51.7998,-8.29675
12259K,Cork,51.6723,-9.99928
12263B,Cork,51.823,-8.57781
12281D,Cork,51.8664,-8.23556
12292I,Cork,51.8889,-8.85557
12382J,Cork,52.0939,-8.04878
12383L,Cork,51.5529,-9.14353
12395S,Cork,51.9373,-8.90345
12446J,Cork,52.2534,-8.36387
12447L,Cork,52.186,-8.66982
12456M,Cork,51.642,-8.76351
12505W,Cork,51.8618,-9.05998
12598J,Cork,51.5799,-9.02899
12676D,Cork,51.9081,-8.56156
12685E,Cork,51.605,-9.62247
12967O,Cork,51.8405,-9.12483
13031I,Cork,52.3543,-8.68529
13095L,Cork,51.6558,-9.35846
13125R,Cork,51.6151,-8.82767
13234W,Cork,51.846,-8.78809
13286S,Cork,51.8368,-8.9899
13375R,Cork,51.7267,-8.76932
13402R,Cork,51.9579,-8.33901
13450F,Cork,51.8499,-8.31519
13483U,Cork,52.0685,-8.63735
13512B,Cork,51.8191,-8.397
13543M,Cork,51.7526,-9.17601
13647B,Cork,51.9109,-8.05094
13661S,Cork,51.7235,-9.11339
13662U,Cork,51.7233,-9.11362
13663W,Cork,51.9195,-8.4123
13728B,Cork,51.5299,-9.19603
13747F,Cork,51.9298,-8.3921
13779S,Cork,52.1038,-8.6931
13828F,Cork,51.8732,-8.44038
13889C,Cork,51.831,-8.35319
13910N,Cork,51.8018,-8.29765
13976U,Cork,51.5631,-9.46724
14002G,Cork,52.2754,-9.21695
14014N,Cork,52.182,-9.23532
14022M,Cork,51.9099,-8.79214
14052V,Cork,52.1763,-8.91015
14065H,Cork,51.4722,-9.40646
14107U,Cork,52.1718,-8.46748
14116V,Cork,51.6727,-8.69399
14225D,Cork,51.56,-9.45903
14227H,Cork,51.5594,-9.38987
14303U,Cork,51.4349,-9.49777
14430E,Cork,51.7374,-9.5095
14433K,Cork,51.5405,-9.2606
14726C,Cork,51.7095,-8.51381
14784Q,Cork,51.7216,-9.10686
14813U,Cork,51.583,-9.0241
14816D,Cork,51.8993,-9.08749
14839P,Cork,51.9283,-9.02122
14993C,Cork,51.9005,-9.16048
15135H,Cork,51.6763,-9.44062
15140A,Cork,51.9772,-8.92447
15165Q,Cork,51.9092,-8.09526
15346U,Cork,51.9372,-9.14848
15380U,Cork,52.134,-8.94987
15410D,Cork,51.5805,-9.70255
15484J,Cork,51.914,-8.34116
15516T,Cork,51.9292,-7.92158
15550T,Cork,51.7921,-8.57102
15563F,Cork,51.5318,-9.37558
15594Q,Cork,52.1507,-8.30586
15597W,Cork,51.9024,-8.95377
15646J,Cork,51.7425,-9.44824
15701O,Cork,52.0468,-8.26451
15718I,Cork,51.8542,-8.29181
15792U,Cork,51.9507,-8.42985
15903D,Cork,52.1455,-8.51553
16087E,Cork,51.7483,-9.37727
16109L,Cork,51.8301,-8.01536
16128P,Cork,52.2652,-8.26532
16159D,Cork,52.1428,-8.64208
16246V,Cork,51.7149,-9.35097
16259H,Cork,51.7218,-8.85379
16271U,Cork,52.0087,-8.34164
16286K,Cork,51.6218,-9.52308
16335U,Cork,51.9801,-8.8368
16377N,Cork,51.8542,-8.29444
16396R,Cork,52.158,-9.07112
16648S,Cork,52.2133,-8.98947
16681Q,Cork,52.3546,-8.67889
16683U,Cork,52.1371,-8.27892
16684W,Cork,51.9081,-8.16949
16746S,Cork,51.8229,-8.46151
16863W,Cork,51.7316,-8.88559
16876I,Cork,51.793,-8.99119
16885J,Cork,51.6952,-9.72017
16900C,Cork,51.5541,-9.25965
16901E,Cork,51.5543,-9.25974
16940O,Cork,51.727,-8.59316
16945B,Cork,52.2214,-8.74374
16955E,Cork,51.9677,-8.98207
17011W,Cork,51.7839,-9.30833
17050J,Cork,51.6218,-9.53408
17079K,Cork,51.9782,-9.04025
17087J,Cork,52.1773,-8.90791
17103E,Cork,51.9095,-8.25777
17112F,Cork,52.3083,-8.66339
17152R,Cork,51.6645,-8.92796
17156C,Cork,52.3546,-8.68506
17168J,Cork,51.7669,-8.65618
17171V,Cork,52.1083,-9.11063
17245B,Cork,51.913,-8.71913
17251T,Cork,51.8753,-8.66564
17281F,Cork,51.7672,-9.15583
17297U,Cork,51.9399,-7.99472
17300G,Cork,52.2283,-8.9422
17323S,Cork,51.8488,-8.3336
17324U,Cork,52.0631,-9.20745
17338I,Cork,51.8397,-8.7277
17360B,Cork,51.9364,-8.49825
17362F,Cork,52.0938,-8.9728
17363H,Cork,51.8028,-8.30067
17505B,Cork,51.9301,-8.38136
17515E,Cork,51.9443,-8.807
17527L,Cork,52.2685,-8.72947
17528N,Cork,52.0962,-8.1184
17533G,Cork,52.1254,-8.59211
17579H,Cork,51.8375,-8.2065
17600S,Cork,51.8681,-8.16069
17602W,Cork,51.9916,-8.75207
17609N,Cork,52.0767,-8.28354
17639W,Cork,52.2628,-8.26575
17667E,Cork,51.9803,-8.53067
17706L,Cork,52.2648,-9.03393
17715M,Cork,51.5616,-8.94535
17754W,Cork,51.8859,-8.58989
17755B,Cork,51.8862,-8.59226
17761T,Cork,52.2039,-8.16678
17763A,Cork,52.2895,-9.14015
17765E,Cork,51.6265,-9.05194
17790D,Cork,52.2069,-8.29226
17794L,Cork,51.9843,-7.94129
17804L,Cork,51.7625,-8.37616
17823P,Cork,52.1082,-8.76264
17829E,Cork,52.3389,-8.8538
17848I,Cork,52.0454,-8.42353
17868O,Cork,52.1348,-8.27313
17887S,Cork,52.1387,-8.64058
17921P,Cork,52.0396,-8.71074
17950W,Cork,51.8542,-8.03529
17955J,Cork,52.1435,-8.22232
17972J,Cork,51.8449,-8.88013
18000W,Cork,51.9085,-8.26279
18020F,Cork,51.8319,-8.65597
18100D,Cork,51.4743,-9.77869
18128C,Cork,52.1762,-9.16162
18196T,Cork,52.192,-8.35769
18246I,Cork,51.7322,-8.95093
18266O,Cork,52.1916,-8.51903
18279A,Cork,51.8189,-8.3848
18296A,Cork,51.6621,-9.26004
18301N,Cork,52.0597,-9.06759
18316D,Cork,52.0807,-8.85837
18377A,Cork,52.1443,-8.27955
18422C,Cork,51.9185,-8.39687
18428O,Cork,51.8538,-8.56475
18431D,Cork,51.7368,-8.74445
18444M,Cork,51.675,-8.7958
18461M,Cork,51.6058,-9.26424
18468D,Cork,51.6902,-9.27935
18472R,Cork,52.0526,-8.10854
18475A,Cork,51.8174,-8.11955
18487H,Cork,51.8752,-8.73842
18491V,Cork,51.6478,-8.64057
18497K,Cork,51.9004,-8.36197
18535P,Cork,51.8186,-8.39782
18549D,Cork,52.1234,-9.20971
18567F,Cork,51.9855,-7.9906
18657G,Cork,52.2218,-8.58177
18659K,Cork,51.5996,-8.95443
18713N,Cork,51.7271,-8.37053
18829J,Cork,51.7028,-8.50215
18883P,Cork,52.1433,-8.64162
19224D,Cork,51.661,-9.00789
19249T,Cork,51.6082,-8.74693
19256Q,Cork,52.1297,-8.64544
19307H,Cork,52.1233,-9.03521
19342J,Cork,52.2104,-8.83271
19348V,Cork,51.7821,-8.86933
19351K,Cork,51.8877,-7.97281
19381T,Cork,51.4981,-9.35162
19404F,Cork,52.145,-8.39879
19415K,Cork,51.9895,-8.47718
19420D,Cork,51.7512,-9.55337
19501D,Cork,51.6053,-10.0613
19507P,Cork,51.6918,-9.95222
19525R,Cork,51.6352,-9.88186
19526T,Cork,52.2449,-8.42484
19557H,Cork,51.6255,-9.29941
19595P,Cork,51.7367,-8.93727
19637F,Cork,51.851,-9.22905
19672H,Cork,51.744,-8.49124
19761G,Cork,51.9678,-8.09543
19771J,Cork,51.8898,-8.6059
19801P,Cork,51.6622,-9.26079
19833F,Cork,51.9497,-7.84228
19839R,Cork,51.8874,-8.61682
19851H,Cork,52.1375,-8.27891
19881Q,Cork,51.8201,-8.38642
19886D,Cork,52.125,-8.64209
19899M,Cork,51.8539,-8.28623
19918N,Cork,51.6508,-9.1475
19977G,Cork,51.7489,-8.74283
19978I,Cork,51.5883,-9.2003
19989N,Cork,52.2284,-8.66937
20001N,Cork,51.6795,-9.44823
20004T,Cork,51.652,-9.91003
20006A,Cork,51.6205,-8.88511
20009G,Cork,51.5533,-9.25813
20022V,Cork,51.6203,-8.891
20024C,Cork,51.9474,-7.84329
20025E,Cork,51.7381,-8.74121
20049S,Cork,51.824,-8.32155
20088F,Cork,51.5285,-9.5452
20105C,Cork,51.875,-8.34252
20107G,Cork,51.9092,-8.17253
20151J,Cork,51.9328,-8.56204
20182U,Cork,51.7813,-9.09103
20204E,Cork,52.1724,-8.24006
20222G,Cork,51.9284,-9.21987
20239A,Cork,51.9302,-8.41794
20265B,Cork,51.7072,-8.53749
20310D,Cork,51.8249,-8.38378
20335T,Cork,51.8688,-8.40259
20336V,Cork,51.9192,-8.16635
20399W,Cork,51.9339,-8.5704
20413N,Cork,51.8602,-8.40008
20435A,Cork,51.7043,-8.52558
01572D,Donegal,55.1988,-7.39275
01574H,Donegal,55.157,-7.3533
01733B,Donegal,54.764,-8.41069
03294L,Donegal,55.0884,-8.1281
04809A,Donegal,54.9975,-8.41815
05164I,Donegal,55.265,-8.22383
05230S,Donegal,54.8599,-7.66501
07143K,Donegal,54.9563,-7.45628
07464H,Donegal,55.0605,-7.62089
07626H,Donegal,55.336,-7.28693
09009Q,Donegal,54.4831,-8.11855
09660R,Donegal,54.6844,-8.03202
09748I,Donegal,54.9048,-7.66524
10062E,Donegal,55.1231,-7.90767
10595Q,Donegal,54.4987,-8.18011
11843O,Donegal,54.6384,-8.43983
12077E,Donegal,54.9958,-7.73099
13563S,Donegal,54.8309,-8.34546
13755E,Donegal,55.0048,-7.89805
13872I,Donegal,54.5794,-8.12251
14194S,Donegal,55.0495,-7.83209
14502D,Donegal,55.0764,-8.28422
14631O,Donegal,55.3211,-7.1811
14704P,Donegal,55.1536,-8.01078
14910S,Donegal,54.8032,-7.59434
14941G,Donegal,54.9374,-7.61743
15170J,Donegal,55.0007,-7.66009
15208I,Donegal,54.9674,-7.96652
15532R,Donegal,55.2063,-7.62937
15554E,Donegal,54.7643,-8.36492
15627F,Donegal,55.0654,-7.43337
15729N,Donegal,55.0955,-7.54046
15763N,Donegal,55.19,-7.03519
15770K,Donegal,54.6562,-8.27631
15847T,Donegal,54.8573,-8.30219
15955W,Donegal,54.9854,-8.49395
16054M,Donegal,54.8425,-7.50118
16108J,Donegal,55.2681,-7.49704
16137Q,Donegal,55.1791,-7.64037
16138S,Donegal,54.8752,-7.59741
16242N,Donegal,55.2452,-7.62311
16279N,Donegal,55.1961,-7.72635
16349I,Donegal,54.7913,-7.68367
16357H,Donegal,54.6391,-8.48311
16375J,Donegal,54.6692,-8.24301
16384K,Donegal,54.9739,-8.52075
16458N,Donegal,54.6529,-8.27304
16471F,Donegal,55.2009,-7.68843
16603T,Donegal,54.686,-8.26216
16608G,Donegal,54.6557,-8.42692
16611S,Donegal,55.2214,-7.26456
16642G,Donegal,55.2628,-7.41153
16664Q,Donegal,54.6407,-8.38951
16671N,Donegal,55.1296,-8.18063
16672P,Donegal,54.9324,-7.69481
16763S,Donegal,55.1008,-7.94706
16789N,Donegal,55.1505,-7.44037
16819T,Donegal,55.1205,-8.1338
16820E,Donegal,54.9974,-7.51577
16821G,Donegal,55.2458,-7.26448
16823K,Donegal,54.8512,-8.32508
16829W,Donegal,55.0029,-8.2922
16836T,Donegal,55.2709,-7.30901
16837V,Donegal,54.9078,-8.20649
16850N,Donegal,55.1371,-7.55635
16854V,Donegal,55.1337,-7.45505
16869L,Donegal,54.7467,-8.43193
16880W,Donegal,55.2364,-7.22659
16903I,Donegal,55.1659,-7.92008
16995Q,Donegal,54.9372,-7.59693
17018N,Donegal,55.0375,-8.25505
17035N,Donegal,54.7417,-8.35939
17036P,Donegal,55.0278,-7.78068
17040G,Donegal,54.7778,-7.57041
17057A,Donegal,54.8672,-7.75685
17122I,Donegal,54.7935,-8.16927
17130H,Donegal,55.144,-8.17684
17180W,Donegal,55.2497,-7.38399
17241Q,Donegal,54.8008,-7.6397
17260U,Donegal,54.6699,-8.10308
17268N,Donegal,54.5204,-8.22624
17328F,Donegal,54.9329,-8.41738
17447N,Donegal,54.7712,-8.47803
17469A,Donegal,54.844,-7.56468
17503U,Donegal,55.0973,-8.27829
17549V,Donegal,55.138,-7.66075
17552K,Donegal,54.873,-7.46714
17553M,Donegal,54.8374,-7.93061
17564R,Donegal,54.8205,-7.96742
17575W,Donegal,54.7829,-7.75998
17598L,Donegal,54.9532,-7.44309
17607J,Donegal,54.7885,-7.78792
17704H,Donegal,55.1384,-8.09538
17716O,Donegal,54.7699,-8.32261
17721H,Donegal,55.3616,-7.33445
17728V,Donegal,54.9789,-7.67567
17729A,Donegal,54.9694,-7.61117
17822N,Donegal,55.1408,-8.22768
17828C,Donegal,54.8711,-7.60464
17831O,Donegal,54.6506,-8.10915
17837D,Donegal,54.5465,-7.83747
17945G,Donegal,54.5019,-8.18482
17956L,Donegal,54.8046,-7.53657
18007N,Donegal,55.0378,-8.31561
18052S,Donegal,54.9523,-7.74068
18058H,Donegal,54.9935,-7.8086
18076J,Donegal,54.8293,-7.48459
18086M,Donegal,55.1824,-7.97513
18114O,Donegal,55.1872,-7.51488
18120J,Donegal,55.23,-7.72234
18129E,Donegal,54.6446,-8.19635
18131O,Donegal,54.7643,-8.40595
18151U,Donegal,55.0902,-7.70306
18172F,Donegal,54.767,-7.68361
18219F,Donegal,55.0603,-8.29783
18241V,Donegal,55.042,-7.70378
18250W,Donegal,55.1601,-7.92158
18251B,Donegal,55.036,-7.64583
18286U,Donegal,54.9819,-8.42233
18295V,Donegal,54.7028,-8.60565
18319J,Donegal,54.9986,-7.84165
18371L,Donegal,55.1245,-7.91132
18421A,Donegal,54.6324,-8.35412
18446Q,Donegal,55.2986,-7.25322
18508M,Donegal,54.6189,-8.08826
18517N,Donegal,55.2418,-7.15026
18520C,Donegal,55.2797,-7.34827
18605K,Donegal,55.2497,-7.26615
18611F,Donegal,54.6582,-8.63133
18625Q,Donegal,54.9502,-7.74286
18652T,Donegal,54.7066,-8.72378
18700E,Donegal,54.9196,-7.48847
18703K,Donegal,54.8167,-7.86386
18710H,Donegal,55.1811,-7.97501
18731P,Donegal,54.8056,-7.76213
18737E,Donegal,54.8614,-7.66942
18766L,Donegal,55.1679,-7.73409
18791K,Donegal,55.2042,-6.98131
18844F,Donegal,55.0177,-8.39609
18874O,Donegal,54.797,-7.68484
18939Q,Donegal,55.2419,-7.27617
19009W,Donegal,55.1383,-7.69622
19089A,Donegal,54.6323,-8.37032
19228L,Donegal,55.1948,-7.82207
19235I,Donegal,55.0583,-7.72865
19252I,Donegal,55.1698,-7.80053
19260H,Donegal,54.87,-8.11618
19280N,Donegal,55.0734,-7.26866
